state,stage,sex,date,completion,year
Melaka,secondary_upper,both,1/1/2020,94.1,2020
Melaka,secondary_upper,both,1/1/2021,98.2,2021
Melaka,secondary_upper,both,1/1/2022,97.7,2022
Melaka,secondary_upper,female,1/1/2016,99.762,2016
Melaka,secondary_upper,female,1/1/2017,98.7135,2017
Melaka,secondary_upper,female,1/1/2018,98.5104,2018
Melaka,secondary_upper,female,1/1/2019,98.4,2019
Melaka,secondary_upper,female,1/1/2020,95.1,2020
Melaka,secondary_upper,female,1/1/2021,98,2021
Melaka,secondary_upper,female,1/1/2022,98.3,2022
Melaka,secondary_upper,male,1/1/2016,98.7998,2016
Melaka,secondary_upper,male,1/1/2017,96.8979,2017
Melaka,secondary_upper,male,1/1/2018,97.9713,2018
Melaka,secondary_upper,male,1/1/2019,95.5,2019
Melaka,secondary_upper,male,1/1/2020,93,2020
Melaka,secondary_upper,male,1/1/2021,98.5,2021
Melaka,secondary_upper,male,1/1/2022,97.1,2022
Negeri Sembilan,primary,both,1/1/2016,98.29,2016
Negeri Sembilan,primary,both,1/1/2017,98.95,2017
Negeri Sembilan,primary,both,1/1/2018,99.24,2018
Negeri Sembilan,primary,both,1/1/2019,98.9,2019
Negeri Sembilan,primary,both,1/1/2020,100.1,2020
Negeri Sembilan,primary,both,1/1/2021,102.9,2021
Negeri Sembilan,primary,both,1/1/2022,101.6,2022
Negeri Sembilan,primary,female,1/1/2016,99.96,2016
Negeri Sembilan,primary,female,1/1/2017,99.49,2017
Negeri Sembilan,primary,female,1/1/2018,100.67,2018
Negeri Sembilan,primary,female,1/1/2019,99.2,2019
Negeri Sembilan,primary,female,1/1/2020,100.5,2020
Negeri Sembilan,primary,female,1/1/2021,102.9,2021
Negeri Sembilan,primary,female,1/1/2022,102.7,2022
Negeri Sembilan,primary,male,1/1/2016,96.74,2016
Negeri Sembilan,primary,male,1/1/2017,98.44,2017
Negeri Sembilan,primary,male,1/1/2018,97.9,2018
Negeri Sembilan,primary,male,1/1/2019,98.7,2019
Negeri Sembilan,primary,male,1/1/2020,99.7,2020
Negeri Sembilan,primary,male,1/1/2021,102.8,2021
Negeri Sembilan,primary,male,1/1/2022,100.6,2022
Negeri Sembilan,secondary_lower,both,1/1/2016,97.3067,2016
Negeri Sembilan,secondary_lower,both,1/1/2017,99.5664,2017
Negeri Sembilan,secondary_lower,both,1/1/2018,97.1165,2018
Negeri Sembilan,secondary_lower,both,1/1/2019,96.9,2019
Negeri Sembilan,secondary_lower,both,1/1/2020,98.2,2020
Negeri Sembilan,secondary_lower,both,1/1/2021,98.9,2021
Negeri Sembilan,secondary_lower,both,1/1/2022,99.9,2022
Negeri Sembilan,secondary_lower,female,1/1/2016,98.235,2016
Negeri Sembilan,secondary_lower,female,1/1/2017,100.411,2017
Negeri Sembilan,secondary_lower,female,1/1/2018,98.2037,2018
Negeri Sembilan,secondary_lower,female,1/1/2019,97.2,2019
Negeri Sembilan,secondary_lower,female,1/1/2020,99.8,2020
Negeri Sembilan,secondary_lower,female,1/1/2021,99.6,2021
Negeri Sembilan,secondary_lower,female,1/1/2022,99.8,2022
Negeri Sembilan,secondary_lower,male,1/1/2016,96.4068,2016
Negeri Sembilan,secondary_lower,male,1/1/2017,98.7444,2017
Negeri Sembilan,secondary_lower,male,1/1/2018,96.0503,2018
Negeri Sembilan,secondary_lower,male,1/1/2019,96.6,2019
Negeri Sembilan,secondary_lower,male,1/1/2020,96.7,2020
Negeri Sembilan,secondary_lower,male,1/1/2021,98.3,2021
Negeri Sembilan,secondary_lower,male,1/1/2022,99.9,2022
Negeri Sembilan,secondary_upper,both,1/1/2016,100.1393,2016
Negeri Sembilan,secondary_upper,both,1/1/2017,96.707,2017
Negeri Sembilan,secondary_upper,both,1/1/2018,96.7493,2018
Negeri Sembilan,secondary_upper,both,1/1/2019,96.9,2019
Negeri Sembilan,secondary_upper,both,1/1/2020,93.3,2020
Negeri Sembilan,secondary_upper,both,1/1/2021,98.6,2021
Negeri Sembilan,secondary_upper,both,1/1/2022,100.4,2022
Negeri Sembilan,secondary_upper,female,1/1/2016,100.3412,2016
Negeri Sembilan,secondary_upper,female,1/1/2017,97.8202,2017
Negeri Sembilan,secondary_upper,female,1/1/2018,97.5787,2018
Negeri Sembilan,secondary_upper,female,1/1/2019,98.3,2019
Negeri Sembilan,secondary_upper,female,1/1/2020,93.7,2020
Negeri Sembilan,secondary_upper,female,1/1/2021,98.6,2021
Negeri Sembilan,secondary_upper,female,1/1/2022,99.8,2022
Negeri Sembilan,secondary_upper,male,1/1/2016,99.9323,2016
Negeri Sembilan,secondary_upper,male,1/1/2017,95.5919,2017
Negeri Sembilan,secondary_upper,male,1/1/2018,95.9152,2018
Negeri Sembilan,secondary_upper,male,1/1/2019,95.5,2019
Negeri Sembilan,secondary_upper,male,1/1/2020,93,2020
Negeri Sembilan,secondary_upper,male,1/1/2021,98.6,2021
Negeri Sembilan,secondary_upper,male,1/1/2022,100.9,2022
Pahang,primary,both,1/1/2016,97.72,2016
Pahang,primary,both,1/1/2017,97.57,2017
Pahang,primary,both,1/1/2018,97.13,2018
Pahang,primary,both,1/1/2019,96.3,2019
Pahang,primary,both,1/1/2020,97,2020
Pahang,primary,both,1/1/2021,97.3,2021
Pahang,primary,both,1/1/2022,96.5,2022
Pahang,primary,female,1/1/2016,98.72,2016
Pahang,primary,female,1/1/2017,98.85,2017
Pahang,primary,female,1/1/2018,97.65,2018
Pahang,primary,female,1/1/2019,97.5,2019
Pahang,primary,female,1/1/2020,97.9,2020
Pahang,primary,female,1/1/2021,97.9,2021
Pahang,primary,female,1/1/2022,98.1,2022
Pahang,primary,male,1/1/2016,96.81,2016
Pahang,primary,male,1/1/2017,96.34,2017
Pahang,primary,male,1/1/2018,96.63,2018
Pahang,primary,male,1/1/2019,95.2,2019
Pahang,primary,male,1/1/2020,96.2,2020
Pahang,primary,male,1/1/2021,96.8,2021
Pahang,primary,male,1/1/2022,95.1,2022
Pahang,secondary_lower,both,1/1/2016,96.3753,2016
Pahang,secondary_lower,both,1/1/2017,97.636,2017
Pahang,secondary_lower,both,1/1/2018,94.9303,2018
Pahang,secondary_lower,both,1/1/2019,96.4,2019
Pahang,secondary_lower,both,1/1/2020,96,2020
Pahang,secondary_lower,both,1/1/2021,99.1,2021
Pahang,secondary_lower,both,1/1/2022,98.7,2022
Pahang,secondary_lower,female,1/1/2016,96.6483,2016
Pahang,secondary_lower,female,1/1/2017,98.1296,2017
Pahang,secondary_lower,female,1/1/2018,97.0508,2018
Pahang,secondary_lower,female,1/1/2019,97.5,2019
Pahang,secondary_lower,female,1/1/2020,97.3,2020
Pahang,secondary_lower,female,1/1/2021,100,2021
Pahang,secondary_lower,female,1/1/2022,98.8,2022
Pahang,secondary_lower,male,1/1/2016,96.1076,2016
Pahang,secondary_lower,male,1/1/2017,97.1421,2017
Pahang,secondary_lower,male,1/1/2018,92.8984,2018
Pahang,secondary_lower,male,1/1/2019,95.3,2019
Pahang,secondary_lower,male,1/1/2020,94.8,2020
Pahang,secondary_lower,male,1/1/2021,98.2,2021
Pahang,secondary_lower,male,1/1/2022,98.6,2022
Pahang,secondary_upper,both,1/1/2016,99.6813,2016
Pahang,secondary_upper,both,1/1/2017,90.8114,2017
Pahang,secondary_upper,both,1/1/2018,99.1357,2018
Pahang,secondary_upper,both,1/1/2019,92.9,2019
Pahang,secondary_upper,both,1/1/2020,97.5,2020
Pahang,secondary_upper,both,1/1/2021,99.6,2021
Pahang,secondary_upper,both,1/1/2022,100,2022
Pahang,secondary_upper,female,1/1/2016,99.5629,2016
Pahang,secondary_upper,female,1/1/2017,91.9756,2017
Pahang,secondary_upper,female,1/1/2018,96.9521,2018
Pahang,secondary_upper,female,1/1/2019,96.5,2019
Pahang,secondary_upper,female,1/1/2020,96.9,2020
Pahang,secondary_upper,female,1/1/2021,99.1,2021
Pahang,secondary_upper,female,1/1/2022,99.5,2022
Pahang,secondary_upper,male,1/1/2016,99.8058,2016
Pahang,secondary_upper,male,1/1/2017,89.6342,2017
Pahang,secondary_upper,male,1/1/2018,101.3786,2018
Pahang,secondary_upper,male,1/1/2019,89.3,2019
Pahang,secondary_upper,male,1/1/2020,98.2,2020
Pahang,secondary_upper,male,1/1/2021,100.2,2021
Pahang,secondary_upper,male,1/1/2022,100.6,2022
Perak,primary,both,1/1/2016,98.83,2016
Perak,primary,both,1/1/2017,98.9,2017
Perak,primary,both,1/1/2018,98.09,2018
Perak,primary,both,1/1/2019,98.6,2019
Perak,primary,both,1/1/2020,99.1,2020
Perak,primary,both,1/1/2021,98.8,2021
Perak,primary,both,1/1/2022,99.9,2022
Perak,primary,female,1/1/2016,99.28,2016
Perak,primary,female,1/1/2017,99.37,2017
Perak,primary,female,1/1/2018,98.51,2018
Perak,primary,female,1/1/2019,99.3,2019
Perak,primary,female,1/1/2020,99.8,2020
Perak,primary,female,1/1/2021,99.7,2021
Perak,primary,female,1/1/2022,100.9,2022
Perak,primary,male,1/1/2016,98.39,2016
Perak,primary,male,1/1/2017,98.44,2017
Perak,primary,male,1/1/2018,97.69,2018
Perak,primary,male,1/1/2019,98,2019
Perak,primary,male,1/1/2020,98.4,2020
Perak,primary,male,1/1/2021,98,2021
Perak,primary,male,1/1/2022,99.1,2022
Perak,secondary_lower,both,1/1/2016,94.9094,2016
Perak,secondary_lower,both,1/1/2017,96.7561,2017
Perak,secondary_lower,both,1/1/2018,95.9696,2018
Perak,secondary_lower,both,1/1/2019,96.9,2019
Perak,secondary_lower,both,1/1/2020,97.1,2020
Perak,secondary_lower,both,1/1/2021,99.4,2021
Perak,secondary_lower,both,1/1/2022,99.2,2022
Perak,secondary_lower,female,1/1/2016,97.142,2016
Perak,secondary_lower,female,1/1/2017,98.1378,2017
Perak,secondary_lower,female,1/1/2018,97.178,2018
Perak,secondary_lower,female,1/1/2019,97.7,2019
Perak,secondary_lower,female,1/1/2020,98.8,2020
Perak,secondary_lower,female,1/1/2021,100.2,2021
Perak,secondary_lower,female,1/1/2022,99.4,2022
Perak,secondary_lower,male,1/1/2016,92.8087,2016
Perak,secondary_lower,male,1/1/2017,95.3946,2017
Perak,secondary_lower,male,1/1/2018,94.8274,2018
Perak,secondary_lower,male,1/1/2019,96.2,2019
Perak,secondary_lower,male,1/1/2020,95.5,2020
Perak,secondary_lower,male,1/1/2021,98.6,2021
Perak,secondary_lower,male,1/1/2022,99,2022
Perak,secondary_upper,both,1/1/2016,99.1,2016
Perak,secondary_upper,both,1/1/2017,94.4357,2017
Perak,secondary_upper,both,1/1/2018,97.4355,2018
Perak,secondary_upper,both,1/1/2019,97.9,2019
Perak,secondary_upper,both,1/1/2020,92.4,2020
Perak,secondary_upper,both,1/1/2021,98.8,2021
Perak,secondary_upper,both,1/1/2022,100.3,2022
Perak,secondary_upper,female,1/1/2016,99.1742,2016
Perak,secondary_upper,female,1/1/2017,95.7164,2017
Perak,secondary_upper,female,1/1/2018,98.4112,2018
Perak,secondary_upper,female,1/1/2019,99.5,2019
Perak,secondary_upper,female,1/1/2020,93.2,2020
Perak,secondary_upper,female,1/1/2021,99.2,2021
Perak,secondary_upper,female,1/1/2022,99.9,2022
Perak,secondary_upper,male,1/1/2016,99.0226,2016
Perak,secondary_upper,male,1/1/2017,93.1089,2017
Perak,secondary_upper,male,1/1/2018,96.4462,2018
Perak,secondary_upper,male,1/1/2019,96.2,2019
Perak,secondary_upper,male,1/1/2020,91.5,2020
Perak,secondary_upper,male,1/1/2021,98.4,2021
Perak,secondary_upper,male,1/1/2022,100.7,2022
Perlis,primary,both,1/1/2016,101.66,2016
Perlis,primary,both,1/1/2017,99.22,2017
Perlis,primary,both,1/1/2018,99.61,2018
Perlis,primary,both,1/1/2019,99,2019
Perlis,primary,both,1/1/2020,98.8,2020
Perlis,primary,both,1/1/2021,96.9,2021
Perlis,primary,both,1/1/2022,105.5,2022
Perlis,primary,female,1/1/2016,100.66,2016
Perlis,primary,female,1/1/2017,100.44,2017
Perlis,primary,female,1/1/2018,100.11,2018
Perlis,primary,female,1/1/2019,101.2,2019
Perlis,primary,female,1/1/2020,100,2020
Perlis,primary,female,1/1/2021,99.8,2021
Perlis,primary,female,1/1/2022,107.2,2022
Perlis,primary,male,1/1/2016,102.63,2016
Perlis,primary,male,1/1/2017,98.05,2017
Perlis,primary,male,1/1/2018,99.13,2018
Perlis,primary,male,1/1/2019,97,2019
Perlis,primary,male,1/1/2020,97.7,2020
Perlis,primary,male,1/1/2021,94.4,2021
Perlis,primary,male,1/1/2022,103.9,2022
Perlis,secondary_lower,both,1/1/2016,93.6557,2016
Perlis,secondary_lower,both,1/1/2017,96.4581,2017
Perlis,secondary_lower,both,1/1/2018,96.5534,2018
Perlis,secondary_lower,both,1/1/2019,93.1,2019
Perlis,secondary_lower,both,1/1/2020,94.4,2020
Perlis,secondary_lower,both,1/1/2021,97.8,2021
Perlis,secondary_lower,both,1/1/2022,99.7,2022
Perlis,secondary_lower,female,1/1/2016,95.152,2016
Perlis,secondary_lower,female,1/1/2017,96.6188,2017
Perlis,secondary_lower,female,1/1/2018,98.2229,2018
Perlis,secondary_lower,female,1/1/2019,95.9,2019
Perlis,secondary_lower,female,1/1/2020,95.8,2020
Perlis,secondary_lower,female,1/1/2021,98.6,2021
Perlis,secondary_lower,female,1/1/2022,100.3,2022
Perlis,secondary_lower,male,1/1/2016,92.1393,2016
Perlis,secondary_lower,male,1/1/2017,96.2909,2017
Perlis,secondary_lower,male,1/1/2018,94.895,2018
Perlis,secondary_lower,male,1/1/2019,90.3,2019
Perlis,secondary_lower,male,1/1/2020,93.1,2020
Perlis,secondary_lower,male,1/1/2021,97.1,2021
Perlis,secondary_lower,male,1/1/2022,99.1,2022
Perlis,secondary_upper,both,1/1/2016,91.1528,2016
Perlis,secondary_upper,both,1/1/2017,94.5276,2017
Perlis,secondary_upper,both,1/1/2018,94.6984,2018
Perlis,secondary_upper,both,1/1/2019,94.6,2019
Perlis,secondary_upper,both,1/1/2020,93.3,2020
Perlis,secondary_upper,both,1/1/2021,97.4,2021
Perlis,secondary_upper,both,1/1/2022,97.9,2022
Perlis,secondary_upper,female,1/1/2016,93.1364,2016
Perlis,secondary_upper,female,1/1/2017,95.4263,2017
Perlis,secondary_upper,female,1/1/2018,96.6413,2018
Perlis,secondary_upper,female,1/1/2019,96.9,2019
Perlis,secondary_upper,female,1/1/2020,95,2020
Perlis,secondary_upper,female,1/1/2021,98.3,2021
Perlis,secondary_upper,female,1/1/2022,98.2,2022
Perlis,secondary_upper,male,1/1/2016,89.2025,2016
Perlis,secondary_upper,male,1/1/2017,93.618,2017
Perlis,secondary_upper,male,1/1/2018,92.6738,2018
Perlis,secondary_upper,male,1/1/2019,92.2,2019
Perlis,secondary_upper,male,1/1/2020,91.5,2020
Perlis,secondary_upper,male,1/1/2021,96.5,2021
Perlis,secondary_upper,male,1/1/2022,97.6,2022
Pulau Pinang,primary,both,1/1/2016,96.55,2016
Pulau Pinang,primary,both,1/1/2017,96.71,2017
Pulau Pinang,primary,both,1/1/2018,96.52,2018
Pulau Pinang,primary,both,1/1/2019,96,2019
Pulau Pinang,primary,both,1/1/2020,96.9,2020
Pulau Pinang,primary,both,1/1/2021,94,2021
Pulau Pinang,primary,both,1/1/2022,97.7,2022
